id,model,voice,condition,target_id,prime_id,repetition,seed,text,output_relpath
82:kokoro_noun_t01_r01,kokoro,,noun,t01,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. You have absolutely no right to speak to me that way!",outputs/kokoro/kokoro_noun_t01_r01.wav
83:kokoro_number_t01_r01,kokoro,,number,t01,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. You have absolutely no right to speak to me that way!",outputs/kokoro/kokoro_number_t01_r01.wav
84:kokoro_noun_t01_r02,kokoro,,noun,t01,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. You have absolutely no right to speak to me that way!",outputs/kokoro/kokoro_noun_t01_r02.wav
85:kokoro_number_t01_r02,kokoro,,number,t01,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. You have absolutely no right to speak to me that way!",outputs/kokoro/kokoro_number_t01_r02.wav
86:kokoro_noun_t02_r01,kokoro,,noun,t02,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I cannot believe you actually did that without telling me!",outputs/kokoro/kokoro_noun_t02_r01.wav
87:kokoro_number_t02_r01,kokoro,,number,t02,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I cannot believe you actually did that without telling me!",outputs/kokoro/kokoro_number_t02_r01.wav
88:kokoro_noun_t02_r02,kokoro,,noun,t02,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I cannot believe you actually did that without telling me!",outputs/kokoro/kokoro_noun_t02_r02.wav
89:kokoro_number_t02_r02,kokoro,,number,t02,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I cannot believe you actually did that without telling me!",outputs/kokoro/kokoro_number_t02_r02.wav
90:kokoro_noun_t03_r01,kokoro,,noun,t03,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. Something is seriously wrong and I am genuinely terrified right now!",outputs/kokoro/kokoro_noun_t03_r01.wav
91:kokoro_number_t03_r01,kokoro,,number,t03,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. Something is seriously wrong and I am genuinely terrified right now!",outputs/kokoro/kokoro_number_t03_r01.wav
92:kokoro_noun_t03_r02,kokoro,,noun,t03,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. Something is seriously wrong and I am genuinely terrified right now!",outputs/kokoro/kokoro_noun_t03_r02.wav
93:kokoro_number_t03_r02,kokoro,,number,t03,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. Something is seriously wrong and I am genuinely terrified right now!",outputs/kokoro/kokoro_number_t03_r02.wav
94:kokoro_noun_t04_r01,kokoro,,noun,t04,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I never thought you would actually leave and never look back!",outputs/kokoro/kokoro_noun_t04_r01.wav
95:kokoro_number_t04_r01,kokoro,,number,t04,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I never thought you would actually leave and never look back!",outputs/kokoro/kokoro_number_t04_r01.wav
96:kokoro_noun_t04_r02,kokoro,,noun,t04,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I never thought you would actually leave and never look back!",outputs/kokoro/kokoro_noun_t04_r02.wav
97:kokoro_number_t04_r02,kokoro,,number,t04,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I never thought you would actually leave and never look back!",outputs/kokoro/kokoro_number_t04_r02.wav
98:kokoro_noun_t05_r01,kokoro,,noun,t05,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. This is honestly the most wonderful thing that has ever happened!",outputs/kokoro/kokoro_noun_t05_r01.wav
99:kokoro_number_t05_r01,kokoro,,number,t05,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. This is honestly the most wonderful thing that has ever happened!",outputs/kokoro/kokoro_number_t05_r01.wav
100:kokoro_noun_t05_r02,kokoro,,noun,t05,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. This is honestly the most wonderful thing that has ever happened!",outputs/kokoro/kokoro_noun_t05_r02.wav
101:kokoro_number_t05_r02,kokoro,,number,t05,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. This is honestly the most wonderful thing that has ever happened!",outputs/kokoro/kokoro_number_t05_r02.wav
102:kokoro_noun_t06_r01,kokoro,,noun,t06,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. You need to get out of this building right now immediately!",outputs/kokoro/kokoro_noun_t06_r01.wav
103:kokoro_number_t06_r01,kokoro,,number,t06,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. You need to get out of this building right now immediately!",outputs/kokoro/kokoro_number_t06_r01.wav
104:kokoro_noun_t06_r02,kokoro,,noun,t06,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. You need to get out of this building right now immediately!",outputs/kokoro/kokoro_noun_t06_r02.wav
105:kokoro_number_t06_r02,kokoro,,number,t06,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. You need to get out of this building right now immediately!",outputs/kokoro/kokoro_number_t06_r02.wav
106:kokoro_noun_t07_r01,kokoro,,noun,t07,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I genuinely expected so much better from someone like you!",outputs/kokoro/kokoro_noun_t07_r01.wav
107:kokoro_number_t07_r01,kokoro,,number,t07,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I genuinely expected so much better from someone like you!",outputs/kokoro/kokoro_number_t07_r01.wav
108:kokoro_noun_t07_r02,kokoro,,noun,t07,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I genuinely expected so much better from someone like you!",outputs/kokoro/kokoro_noun_t07_r02.wav
109:kokoro_number_t07_r02,kokoro,,number,t07,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I genuinely expected so much better from someone like you!",outputs/kokoro/kokoro_number_t07_r02.wav
110:kokoro_noun_t08_r01,kokoro,,noun,t08,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. Thank goodness you are finally safe and back here with me!",outputs/kokoro/kokoro_noun_t08_r01.wav
111:kokoro_number_t08_r01,kokoro,,number,t08,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. Thank goodness you are finally safe and back here with me!",outputs/kokoro/kokoro_number_t08_r01.wav
112:kokoro_noun_t08_r02,kokoro,,noun,t08,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. Thank goodness you are finally safe and back here with me!",outputs/kokoro/kokoro_noun_t08_r02.wav
113:kokoro_number_t08_r02,kokoro,,number,t08,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. Thank goodness you are finally safe and back here with me!",outputs/kokoro/kokoro_number_t08_r02.wav
114:kokoro_noun_t09_r01,kokoro,,noun,t09,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. We have been over this exact same problem a hundred times already!",outputs/kokoro/kokoro_noun_t09_r01.wav
115:kokoro_number_t09_r01,kokoro,,number,t09,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. We have been over this exact same problem a hundred times already!",outputs/kokoro/kokoro_number_t09_r01.wav
116:kokoro_noun_t09_r02,kokoro,,noun,t09,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. We have been over this exact same problem a hundred times already!",outputs/kokoro/kokoro_noun_t09_r02.wav
117:kokoro_number_t09_r02,kokoro,,number,t09,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. We have been over this exact same problem a hundred times already!",outputs/kokoro/kokoro_number_t09_r02.wav
118:kokoro_noun_t10_r01,kokoro,,noun,t10,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I had absolutely no idea any of this was even happening!",outputs/kokoro/kokoro_noun_t10_r01.wav
119:kokoro_number_t10_r01,kokoro,,number,t10,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I had absolutely no idea any of this was even happening!",outputs/kokoro/kokoro_number_t10_r01.wav
120:kokoro_noun_t10_r02,kokoro,,noun,t10,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I had absolutely no idea any of this was even happening!",outputs/kokoro/kokoro_noun_t10_r02.wav
121:kokoro_number_t10_r02,kokoro,,number,t10,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I had absolutely no idea any of this was even happening!",outputs/kokoro/kokoro_number_t10_r02.wav
